datetime,temp,dew,humidity,precip
2016-05-21 00:00:00,27.6,10.2,33.71,0.0
2016-05-21 01:00:00,27.1,9.4,32.83,0.0
2016-05-21 02:00:00,27.4,9.0,31.5,0.0
2016-05-21 03:00:00,27.4,9.4,32.31,0.0
2016-05-21 04:00:00,29.6,11.0,31.71,0.0
2016-05-21 05:00:00,31.8,10.2,26.42,0.0
2016-05-21 06:00:00,33.5,8.7,21.69,0.0
2016-05-21 07:00:00,34.1,7.5,19.43,0.0
2016-05-21 08:00:00,34.5,8.7,20.65,0.0
2016-05-21 09:00:00,34.8,8.1,19.36,0.0
2016-05-21 10:00:00,35.1,7.0,17.72,0.0
2016-05-21 11:00:00,34.1,8.6,20.96,0.0
2016-05-21 12:00:00,34.4,7.2,18.59,0.0
2016-05-21 13:00:00,34.1,9.3,21.97,0.0
2016-05-21 14:00:00,33.5,5.7,17.78,0.0
2016-05-21 15:00:00,32.5,6.8,20.15,0.0
2016-05-21 16:00:00,30.8,6.7,22.12,0.0
2016-05-21 17:00:00,30.0,6.1,22.26,0.0
2016-05-21 18:00:00,28.7,7.3,25.94,0.0
2016-05-21 19:00:00,28.4,7.5,26.88,0.0
2016-05-21 20:00:00,27.1,7.1,28.19,0.0
2016-05-21 21:00:00,26.9,6.6,27.67,0.0
2016-05-21 22:00:00,26.1,4.0,24.06,0.0
2016-05-21 23:00:00,26.5,3.4,22.53,0.0
2016-05-22 00:00:00,25.8,3.1,23.05,0.0
2016-05-22 01:00:00,25.5,2.3,22.18,0.0
2016-05-22 02:00:00,25.3,1.8,21.6,0.0
2016-05-22 03:00:00,25.6,2.8,22.75,0.0
2016-05-22 04:00:00,27.5,3.8,21.83,0.0
2016-05-22 05:00:00,30.6,7.1,22.98,0.0
2016-05-22 06:00:00,33.5,7.9,20.53,0.0
2016-05-22 07:00:00,35.5,7.3,17.75,0.0
2016-05-22 08:00:00,37.1,5.5,14.31,0.0
2016-05-22 09:00:00,38.0,5.1,13.22,0.0
2016-05-22 10:00:00,38.1,4.9,13.01,0.0
2016-05-22 11:00:00,38.1,4.9,13.01,0.0
2016-05-22 12:00:00,37.9,5.3,13.48,0.0
2016-05-22 13:00:00,37.1,6.1,14.96,0.0
2016-05-22 14:00:00,35.5,7.4,17.88,0.0
2016-05-22 15:00:00,34.1,7.7,19.69,0.0
2016-05-22 16:00:00,33.1,4.3,16.43,0.0
2016-05-22 17:00:00,31.2,5.7,20.1,0.0
2016-05-22 18:00:00,30.6,5.9,21.22,0.0
2016-05-22 19:00:00,28.6,6.8,25.32,0.0
2016-05-22 20:00:00,27.9,6.5,25.7,0.0
2016-05-22 21:00:00,27.5,6.1,25.64,0.0
2016-05-22 22:00:00,27.5,3.7,21.69,0.0
2016-05-22 23:00:00,27.5,5.3,24.27,0.0
2016-05-23 00:00:00,26.4,4.5,24.54,0.0
2016-05-23 01:00:00,24.9,2.7,23.57,0.0
2016-05-23 02:00:00,25.9,3.0,22.78,0.0
2016-05-23 03:00:00,27.2,1.3,18.72,0.0
2016-05-23 04:00:00,29.9,3.5,18.66,0.0
2016-05-23 05:00:00,33.0,2.9,14.98,0.0
2016-05-23 06:00:00,36.1,3.3,13.02,0.0
2016-05-23 07:00:00,38.1,2.7,11.12,0.0
2016-05-23 08:00:00,39.7,2.9,10.37,0.0
2016-05-23 09:00:00,40.1,3.6,10.63,0.0
2016-05-23 10:00:00,40.9,2.5,9.44,0.0
2016-05-23 11:00:00,40.9,1.6,8.82,0.0
2016-05-23 12:00:00,40.8,1.7,8.97,0.0
2016-05-23 13:00:00,39.9,1.3,9.15,0.0
2016-05-23 14:00:00,38.3,1.1,9.87,0.0
2016-05-23 15:00:00,37.0,2.5,11.61,0.0
2016-05-23 16:00:00,35.1,3.5,13.93,0.0
2016-05-23 17:00:00,33.6,4.5,16.16,0.0
2016-05-23 18:00:00,32.6,3.9,16.46,0.0
2016-05-23 19:00:00,31.6,4.4,18.04,0.0
2016-05-23 20:00:00,30.4,5.6,21.02,0.0
2016-05-23 21:00:00,30.4,2.6,17.07,0.0
2016-05-23 22:00:00,28.3,6.4,25.05,0.0
2016-05-23 23:00:00,28.5,10.3,32.18,0.0
2016-05-24 00:00:00,27.8,6.8,26.33,0.0
2016-05-24 01:00:00,26.4,8.0,31.21,0.0
2016-05-24 02:00:00,25.7,7.1,30.63,0.0
2016-05-24 03:00:00,26.5,7.4,29.73,0.0
2016-05-24 04:00:00,30.1,7.4,24.06,0.0
