datetime,temp,dew,humidity,precip
2016-05-21 00:00:00,27.1,21.9,73.11,0.0
2016-05-21 01:00:00,25.6,21.7,79.46,0.0
2016-05-21 02:00:00,24.3,21.7,85.44,0.0
2016-05-21 03:00:00,23.8,21.8,88.28,0.0
2016-05-21 04:00:00,23.8,21.8,88.62,0.0
2016-05-21 05:00:00,23.4,21.8,90.97,0.0
2016-05-21 06:00:00,23.4,21.8,90.76,0.0
2016-05-21 07:00:00,23.3,21.8,91.12,0.0
2016-05-21 08:00:00,23.2,21.8,91.61,0.0
2016-05-21 09:00:00,23.3,22.2,93.98,0.0
2016-05-21 10:00:00,23.3,21.8,91.77,0.0
2016-05-21 11:00:00,22.9,21.9,94.17,0.0
2016-05-21 12:00:00,23.3,21.9,91.88,0.0
2016-05-21 13:00:00,23.4,22.3,93.88,1.804
2016-05-21 14:00:00,25.3,23.2,88.01,1.046
2016-05-21 15:00:00,26.3,24.2,88.01,0.242
2016-05-21 16:00:00,27.6,23.9,80.5,0.0
2016-05-21 17:00:00,27.3,24.0,82.2,0.0
2016-05-21 18:00:00,28.8,24.5,77.28,0.0
2016-05-21 19:00:00,30.0,24.9,74.2,0.0
2016-05-21 20:00:00,28.9,24.3,75.99,0.092
2016-05-21 21:00:00,26.5,23.9,85.68,0.901
2016-05-21 22:00:00,23.7,22.8,94.3,1.69
2016-05-21 23:00:00,23.7,22.8,94.75,1.376
2016-05-22 00:00:00,23.7,22.7,94.38,3.343
2016-05-22 01:00:00,23.3,22.1,93.08,6.526
2016-05-22 02:00:00,23.3,21.3,88.67,0.592
2016-05-22 03:00:00,22.9,20.9,88.18,0.242
2016-05-22 04:00:00,23.0,21.2,90.11,0.242
2016-05-22 05:00:00,23.2,21.7,91.21,0.0
2016-05-22 06:00:00,23.6,22.7,94.63,0.0
2016-05-22 07:00:00,22.8,22.3,96.72,0.0
2016-05-22 08:00:00,24.0,23.2,95.25,0.0
2016-05-22 09:00:00,24.7,23.8,94.57,0.0
2016-05-22 10:00:00,23.9,23.4,97.4,0.0
2016-05-22 11:00:00,24.3,23.9,97.4,0.0
2016-05-22 12:00:00,23.9,23.9,100.0,0.0
2016-05-22 13:00:00,25.6,25.0,96.53,0.0
2016-05-22 14:00:00,26.7,25.0,90.45,0.0
2016-05-22 15:00:00,27.6,24.9,85.19,0.057
2016-05-22 16:00:00,27.6,24.9,85.19,0.517
2016-05-22 17:00:00,26.5,22.2,77.0,0.017
2016-05-22 18:00:00,27.1,21.2,70.25,0.0
2016-05-22 19:00:00,27.7,21.7,69.77,0.0
2016-05-22 20:00:00,28.2,21.8,68.02,0.0
2016-05-22 21:00:00,27.1,21.8,72.49,0.0
2016-05-22 22:00:00,27.1,21.8,72.49,0.0
2016-05-22 23:00:00,26.7,21.8,74.65,0.0
2016-05-23 00:00:00,26.6,21.7,74.49,0.0
2016-05-23 01:00:00,25.6,21.7,79.15,0.0
2016-05-23 02:00:00,25.0,21.8,82.25,0.0
2016-05-23 03:00:00,23.9,21.7,87.93,0.0
2016-05-23 04:00:00,23.9,21.7,87.93,0.0
2016-05-23 05:00:00,23.9,22.2,90.5,0.0
2016-05-23 06:00:00,23.4,21.7,90.46,0.0
2016-05-23 07:00:00,23.4,21.7,90.46,0.0
2016-05-23 08:00:00,23.4,21.7,90.46,0.0
2016-05-23 09:00:00,22.3,21.2,93.62,0.0
2016-05-23 10:00:00,21.8,21.2,96.35,0.0
2016-05-23 11:00:00,22.3,21.2,93.62,0.0
2016-05-23 12:00:00,22.9,21.7,93.08,0.0
2016-05-23 13:00:00,24.4,22.2,87.82,0.0
2016-05-23 14:00:00,25.0,22.2,84.47,0.0
2016-05-23 15:00:00,26.2,22.2,79.06,0.0
2016-05-23 16:00:00,27.1,22.2,74.57,0.0
2016-05-23 17:00:00,27.8,22.9,74.55,0.0
2016-05-23 18:00:00,28.3,22.3,69.87,0.0
2016-05-23 19:00:00,28.3,22.9,72.53,0.0
2016-05-23 20:00:00,26.7,22.3,76.55,0.0
2016-05-23 21:00:00,27.8,22.9,74.7,0.0
2016-05-23 22:00:00,27.1,22.2,74.6,0.0
2016-05-23 23:00:00,26.7,22.3,76.67,0.0
2016-05-24 00:00:00,26.1,22.2,79.2,0.0
2016-05-24 01:00:00,26.1,22.3,79.34,0.0
2016-05-24 02:00:00,25.0,22.9,88.03,0.0
2016-05-24 03:00:00,25.0,23.4,90.57,0.0
2016-05-24 04:00:00,25.0,23.4,90.51,0.0
2016-05-24 05:00:00,25.0,23.4,90.73,0.0
2016-05-24 06:00:00,24.4,22.9,91.49,0.0
2016-05-24 07:00:00,24.4,22.9,91.49,0.0
2016-05-24 08:00:00,24.4,23.4,94.13,0.0
2016-05-24 09:00:00,25.0,23.4,90.73,0.0
