datetime,temp,dew,humidity,precip
2016-05-21 00:00:00,27.9,19.3,59.47,0.0
2016-05-21 01:00:00,25.3,18.9,67.67,0.0
2016-05-21 02:00:00,23.5,19.0,76.06,0.0
2016-05-21 03:00:00,22.6,19.7,83.51,0.0
2016-05-21 04:00:00,21.3,19.4,89.07,0.0
2016-05-21 05:00:00,21.1,19.3,89.79,0.0
2016-05-21 06:00:00,21.0,19.2,89.84,0.0
2016-05-21 07:00:00,20.6,18.9,89.88,0.0
2016-05-21 08:00:00,20.0,18.7,92.51,0.0
2016-05-21 09:00:00,20.4,19.0,91.63,0.0
2016-05-21 10:00:00,20.3,18.6,89.97,0.0
2016-05-21 11:00:00,19.8,18.5,92.03,0.0
2016-05-21 12:00:00,20.7,18.8,89.04,0.0
2016-05-21 13:00:00,22.7,19.1,80.37,0.0
2016-05-21 14:00:00,24.2,19.6,75.59,0.0
2016-05-21 15:00:00,26.4,19.7,66.44,0.0
2016-05-21 16:00:00,27.9,19.7,60.99,0.0
2016-05-21 17:00:00,28.5,19.7,59.05,0.0
2016-05-21 18:00:00,29.0,19.8,57.69,0.0
2016-05-21 19:00:00,29.7,18.9,52.14,0.0
2016-05-21 20:00:00,30.7,19.5,51.15,0.0
2016-05-21 21:00:00,31.2,19.4,49.51,0.0
2016-05-21 22:00:00,31.2,19.4,49.52,0.0
2016-05-21 23:00:00,30.9,19.1,49.48,0.0
2016-05-22 00:00:00,29.4,19.7,56.15,0.0
2016-05-22 01:00:00,26.5,20.9,71.61,0.0
2016-05-22 02:00:00,24.8,20.5,76.79,0.0
2016-05-22 03:00:00,23.7,20.9,84.33,0.0
2016-05-22 04:00:00,22.8,20.9,88.96,0.0
2016-05-22 05:00:00,23.2,19.9,81.67,0.0
2016-05-22 06:00:00,22.2,19.7,85.8,0.0
2016-05-22 07:00:00,21.8,19.5,86.8,0.0
2016-05-22 08:00:00,21.7,19.0,84.85,0.0
2016-05-22 09:00:00,21.1,18.3,83.97,0.0
2016-05-22 10:00:00,20.7,18.3,86.14,0.0
2016-05-22 11:00:00,20.2,17.6,84.76,0.0
2016-05-22 12:00:00,20.8,16.7,77.31,0.0
2016-05-22 13:00:00,21.8,16.2,70.69,0.0
2016-05-22 14:00:00,23.0,15.6,63.24,0.0
2016-05-22 15:00:00,24.8,16.2,58.77,0.0
2016-05-22 16:00:00,25.8,16.6,56.97,0.0
2016-05-22 17:00:00,26.9,17.1,55.04,0.0
2016-05-22 18:00:00,27.0,16.7,53.39,0.0
2016-05-22 19:00:00,27.7,17.6,54.33,0.0
2016-05-22 20:00:00,28.4,17.6,52.12,0.0
2016-05-22 21:00:00,28.3,17.6,52.17,0.0
2016-05-22 22:00:00,28.6,17.7,51.69,0.0
2016-05-22 23:00:00,28.5,17.7,52.08,0.0
2016-05-23 00:00:00,27.5,17.8,55.3,0.0
2016-05-23 01:00:00,25.0,19.1,69.68,0.0
2016-05-23 02:00:00,22.9,19.3,80.43,0.0
2016-05-23 03:00:00,22.3,18.0,76.95,0.0
2016-05-23 04:00:00,21.8,17.3,75.61,0.0
2016-05-23 05:00:00,20.2,17.4,83.97,0.0
2016-05-23 06:00:00,20.0,16.6,80.95,0.0
2016-05-23 07:00:00,19.2,16.5,84.55,0.0
2016-05-23 08:00:00,19.1,16.2,83.7,0.0
2016-05-23 09:00:00,18.1,15.9,87.04,0.0
2016-05-23 10:00:00,17.6,15.3,86.7,0.0
2016-05-23 11:00:00,17.6,14.8,83.68,0.0
2016-05-23 12:00:00,18.7,14.9,78.84,0.0
2016-05-23 13:00:00,21.2,14.9,67.21,0.0
2016-05-23 14:00:00,23.9,15.0,57.59,0.0
2016-05-23 15:00:00,25.9,16.4,55.91,0.0
2016-05-23 16:00:00,27.0,17.3,55.54,0.0
2016-05-23 17:00:00,27.2,17.2,54.6,0.0
2016-05-23 18:00:00,28.4,17.1,50.42,0.0
2016-05-23 19:00:00,28.7,17.2,49.81,0.0
2016-05-23 20:00:00,30.1,16.8,44.89,0.0
2016-05-23 21:00:00,30.1,17.0,45.47,0.0
2016-05-23 22:00:00,28.8,16.6,47.7,0.0
2016-05-23 23:00:00,28.7,16.8,48.66,0.0
2016-05-24 00:00:00,27.6,17.7,54.68,0.0
2016-05-24 01:00:00,25.9,17.9,61.34,0.0
2016-05-24 02:00:00,24.1,17.6,66.84,0.0
2016-05-24 03:00:00,23.3,17.4,69.59,0.0
2016-05-24 04:00:00,22.3,17.8,75.85,0.0
2016-05-24 05:00:00,22.1,17.7,76.41,0.0
2016-05-24 06:00:00,20.7,18.1,85.07,0.0
2016-05-24 07:00:00,20.1,18.2,88.81,0.0
2016-05-24 08:00:00,19.8,18.3,91.02,0.0
2016-05-24 09:00:00,19.6,17.7,88.56,0.0
2016-05-24 10:00:00,19.1,17.7,91.63,0.0
2016-05-24 11:00:00,18.7,17.7,93.9,0.0
2016-05-24 12:00:00,19.7,18.3,91.75,0.0
2016-05-24 13:00:00,22.3,19.3,83.17,0.0
2016-05-24 14:00:00,24.9,19.8,73.36,0.0
2016-05-24 15:00:00,26.9,20.3,67.2,0.0
2016-05-24 16:00:00,27.7,19.8,62.41,0.0
2016-05-24 17:00:00,28.6,19.9,59.16,0.0
2016-05-24 18:00:00,29.6,19.9,56.0,0.0
2016-05-24 19:00:00,30.3,20.4,55.41,0.0
2016-05-24 20:00:00,30.8,19.5,50.96,0.0
2016-05-24 21:00:00,31.7,20.2,50.45,0.0
2016-05-24 22:00:00,30.9,21.1,56.01,0.0
2016-05-24 23:00:00,30.0,21.1,58.99,0.0
2016-05-25 00:00:00,28.5,21.2,64.45,0.0
2016-05-25 01:00:00,26.8,21.5,72.57,0.0
