datetime,temp,dew,humidity,precip
2016-05-29 00:00:00,28.2,22.9,73.19,0.0
2016-05-29 01:00:00,29.0,23.0,70.11,0.0
2016-05-29 02:00:00,29.6,22.7,66.32,0.0
2016-05-29 03:00:00,29.5,23.6,70.81,0.0
2016-05-29 04:00:00,30.0,24.0,70.29,0.0
2016-05-29 05:00:00,30.6,22.6,62.6,0.068
2016-05-29 06:00:00,30.2,22.2,62.51,0.0
2016-05-29 07:00:00,30.0,22.0,62.28,0.0
2016-05-29 08:00:00,30.3,21.4,59.21,0.0
2016-05-29 09:00:00,28.9,21.1,62.92,0.0
2016-05-29 10:00:00,28.0,22.0,69.92,0.0
2016-05-29 11:00:00,26.3,22.6,80.12,0.0
2016-05-29 12:00:00,25.8,22.7,82.67,0.0
2016-05-29 13:00:00,26.0,23.0,83.57,0.0
2016-05-29 14:00:00,25.1,22.6,85.86,0.0
2016-05-29 15:00:00,25.7,22.9,84.29,0.0
2016-05-29 16:00:00,25.0,23.0,88.68,0.0
2016-05-29 17:00:00,24.6,22.9,90.15,0.0
2016-05-29 18:00:00,24.8,23.1,90.18,0.0
2016-05-29 19:00:00,26.0,23.0,83.57,0.0
2016-05-29 20:00:00,25.1,22.8,86.98,0.0
2016-05-29 21:00:00,25.5,23.0,85.76,0.0
2016-05-29 22:00:00,27.3,23.7,85.76,0.0
2016-05-29 23:00:00,27.4,23.4,78.7,0.079
2016-05-30 00:00:00,28.3,23.7,76.54,0.0
2016-05-30 01:00:00,30.0,22.0,62.28,0.0
2016-05-30 02:00:00,31.4,21.5,55.81,0.0
2016-05-30 03:00:00,32.7,20.3,48.01,0.0
2016-05-30 04:00:00,32.0,19.0,46.18,0.0
2016-05-30 05:00:00,33.0,20.2,47.08,0.0
2016-05-30 06:00:00,32.3,19.9,47.88,0.0
2016-05-30 07:00:00,32.0,21.0,52.27,0.0
2016-05-30 08:00:00,30.6,21.1,56.72,0.0
2016-05-30 09:00:00,29.2,21.8,64.15,0.0
2016-05-30 10:00:00,28.0,22.0,69.92,0.0
2016-05-30 11:00:00,27.2,22.3,74.33,0.0
2016-05-30 12:00:00,26.8,22.9,79.54,0.0
2016-05-30 13:00:00,26.0,23.0,83.57,0.0
2016-05-30 14:00:00,26.0,23.0,83.24,0.0
2016-05-30 15:00:00,26.0,23.7,86.95,0.0
2016-05-30 16:00:00,25.2,23.3,86.95,0.0
2016-05-30 17:00:00,25.7,23.1,85.48,0.0
2016-05-30 18:00:00,25.7,22.8,84.38,0.0
2016-05-30 19:00:00,25.0,23.0,88.68,0.0
2016-05-30 20:00:00,24.9,22.8,88.22,0.0
2016-05-30 21:00:00,24.8,23.0,89.85,0.0
2016-05-30 22:00:00,25.0,23.0,88.68,0.0
2016-05-30 23:00:00,27.8,22.6,73.66,0.0
2016-05-31 00:00:00,28.8,21.9,66.43,0.0
2016-05-31 01:00:00,30.0,22.0,62.28,0.0
2016-05-31 02:00:00,31.7,19.8,49.35,0.0
2016-05-31 03:00:00,32.1,18.2,43.74,0.0
2016-05-31 04:00:00,33.0,18.0,41.0,0.0
2016-05-31 05:00:00,33.6,15.9,34.69,0.045
2016-05-31 06:00:00,34.0,11.6,25.67,0.0
2016-05-31 07:00:00,32.0,22.0,55.57,0.0
2016-05-31 08:00:00,29.9,21.6,60.97,0.0
2016-05-31 09:00:00,28.9,21.8,65.61,0.0
2016-05-31 10:00:00,28.0,21.0,65.77,0.0
2016-05-31 11:00:00,26.1,21.7,76.58,0.0
2016-05-31 12:00:00,25.7,22.1,80.39,0.0
2016-05-31 13:00:00,25.0,22.0,83.45,0.0
2016-05-31 14:00:00,25.9,21.9,78.96,0.0
2016-05-31 15:00:00,25.9,22.9,83.73,0.0
2016-05-31 16:00:00,25.0,23.0,88.68,0.0
2016-05-31 17:00:00,24.4,22.8,90.79,0.0
2016-05-31 18:00:00,24.0,22.8,92.96,0.0
2016-05-31 19:00:00,25.0,22.0,83.45,0.0
2016-05-31 20:00:00,24.0,21.7,87.14,0.0
2016-05-31 21:00:00,24.0,21.8,87.88,0.0
2016-05-31 22:00:00,25.0,21.0,78.5,0.0
2016-05-31 23:00:00,27.7,22.2,72.0,0.0
2016-06-01 00:00:00,29.1,21.8,65.01,0.0
2016-06-01 01:00:00,30.0,21.0,58.58,0.0
2016-06-01 02:00:00,32.1,18.6,44.63,0.0
2016-06-01 03:00:00,32.1,17.3,41.34,0.0
2016-06-01 04:00:00,34.0,16.0,34.15,0.0
2016-06-01 05:00:00,33.7,15.0,32.58,0.0
2016-06-01 06:00:00,33.8,15.3,32.91,0.0
2016-06-01 07:00:00,33.0,15.0,33.88,0.0
2016-06-01 08:00:00,29.9,20.8,58.29,0.0
2016-06-01 09:00:00,29.0,21.7,64.84,0.0
2016-06-01 10:00:00,28.0,22.0,69.92,0.0
2016-06-01 11:00:00,26.4,21.9,76.7,0.0
2016-06-01 12:00:00,25.9,22.0,79.01,0.0
2016-06-01 13:00:00,26.0,22.0,78.64,0.0
2016-06-01 14:00:00,25.8,22.0,79.94,0.0
2016-06-01 15:00:00,25.5,22.6,84.0,0.0
2016-06-01 16:00:00,25.0,23.0,88.68,0.0
2016-06-01 17:00:00,24.3,22.7,90.88,0.0
2016-06-01 18:00:00,24.1,22.9,93.16,0.0
2016-06-01 19:00:00,26.0,23.0,83.57,0.0
2016-06-01 20:00:00,24.6,22.4,87.08,0.0
2016-06-01 21:00:00,24.8,21.9,84.05,0.0
2016-06-01 22:00:00,25.0,22.0,83.45,0.0
2016-06-01 23:00:00,28.0,22.3,71.28,0.0
2016-06-02 00:00:00,28.8,21.2,63.43,0.0
2016-06-02 01:00:00,30.0,20.0,55.08,0.0
2016-06-02 02:00:00,31.5,19.2,48.19,0.0
2016-06-02 03:00:00,32.0,16.9,40.45,0.0
2016-06-02 04:00:00,33.0,16.0,36.12,0.0
2016-06-02 05:00:00,32.7,18.2,42.36,0.0
2016-06-02 06:00:00,32.2,20.7,50.69,0.0
2016-06-02 07:00:00,31.0,21.0,55.32,0.0
2016-06-02 08:00:00,30.2,21.8,60.74,0.0
2016-06-02 09:00:00,28.9,22.0,66.63,0.0
2016-06-02 10:00:00,28.0,22.0,69.92,0.0
2016-06-02 11:00:00,26.9,22.6,77.37,0.0
2016-06-02 12:00:00,26.7,22.7,78.86,0.0
2016-06-02 13:00:00,26.0,23.0,83.57,0.0
2016-06-02 14:00:00,26.3,23.0,81.93,0.0
2016-06-02 15:00:00,25.6,23.5,88.31,0.0
2016-06-02 16:00:00,25.0,24.0,94.19,0.0
2016-06-02 17:00:00,24.4,23.2,93.11,0.0
2016-06-02 18:00:00,24.7,23.5,92.99,0.0
2016-06-02 19:00:00,25.0,24.0,94.19,0.0
2016-06-02 20:00:00,24.2,22.8,91.89,0.0
2016-06-02 21:00:00,23.7,22.7,93.94,0.0
2016-06-02 22:00:00,24.0,23.0,94.15,0.0
2016-06-02 23:00:00,28.3,23.8,76.65,0.0
2016-06-03 00:00:00,29.1,22.8,68.8,0.0
2016-06-03 01:00:00,31.0,22.0,58.82,0.0
2016-06-03 02:00:00,32.3,20.8,50.81,0.0
2016-06-03 03:00:00,31.3,22.0,57.89,0.0
2016-06-03 04:00:00,32.0,22.0,55.57,0.0
2016-06-03 05:00:00,32.0,22.2,56.46,0.0
2016-06-03 06:00:00,31.2,22.8,60.96,0.0
2016-06-03 07:00:00,31.0,23.0,62.5,0.0
2016-06-03 08:00:00,30.3,23.0,65.18,0.0
2016-06-03 09:00:00,29.1,23.7,72.74,0.0
2016-06-03 10:00:00,29.0,24.0,74.47,0.0
2016-06-03 11:00:00,27.5,23.8,80.32,0.0
2016-06-03 12:00:00,27.0,23.7,82.28,0.0
2016-06-03 13:00:00,26.0,24.0,88.76,0.0
2016-06-03 14:00:00,26.7,23.9,84.52,0.0
2016-06-03 15:00:00,26.9,24.0,84.5,0.0
2016-06-03 16:00:00,27.0,24.0,83.68,0.0
2016-06-03 17:00:00,25.0,23.7,92.52,0.0
2016-06-03 18:00:00,24.8,23.7,93.84,0.0
2016-06-03 19:00:00,25.0,24.0,94.19,0.0
2016-06-03 20:00:00,24.6,23.6,94.08,0.0
2016-06-03 21:00:00,24.6,23.6,94.23,0.0
2016-06-03 22:00:00,25.0,24.0,94.19,0.0
2016-06-03 23:00:00,28.6,23.9,76.05,0.0
2016-06-04 00:00:00,29.2,23.2,70.11,0.0
2016-06-04 01:00:00,30.0,23.0,66.18,0.0
2016-06-04 02:00:00,30.0,22.9,66.0,0.0
2016-06-04 03:00:00,31.3,22.7,60.28,0.0
2016-06-04 04:00:00,31.0,22.0,58.82,0.0
2016-06-04 05:00:00,32.6,22.2,54.43,0.0
2016-06-04 06:00:00,32.2,21.9,54.9,0.0
2016-06-04 07:00:00,31.0,23.0,62.5,0.0
2016-06-04 08:00:00,30.0,23.6,68.75,0.0
2016-06-04 09:00:00,29.1,23.8,73.09,0.0
2016-06-04 10:00:00,29.0,24.0,74.47,0.0
2016-06-04 11:00:00,28.1,24.0,78.74,0.0
2016-06-04 12:00:00,27.8,24.0,79.81,0.0
2016-06-04 13:00:00,27.0,24.0,83.68,0.0
2016-06-04 14:00:00,25.8,23.9,89.31,0.0
