datetime,temp,dew,humidity,precip
2016-05-29 00:00:00,22.8,12.3,51.52,0.0
2016-05-29 01:00:00,25.7,10.2,37.78,0.0
2016-05-29 02:00:00,26.4,13.7,45.53,0.0
2016-05-29 03:00:00,29.6,11.4,32.62,0.0
2016-05-29 04:00:00,30.2,10.6,29.72,0.0
2016-05-29 05:00:00,27.3,14.7,46.07,0.0
2016-05-29 06:00:00,30.3,10.3,28.89,0.0
2016-05-29 07:00:00,30.2,11.1,30.7,0.0
2016-05-29 08:00:00,26.7,15.3,49.61,0.0
2016-05-29 09:00:00,27.4,15.4,48.03,0.0
2016-05-29 10:00:00,25.9,16.2,55.1,0.0
2016-05-29 11:00:00,25.3,16.8,59.31,0.0
2016-05-29 12:00:00,25.3,16.7,59.11,0.0
2016-05-29 13:00:00,25.1,16.6,59.19,0.0
2016-05-29 14:00:00,24.3,16.3,60.99,0.0
2016-05-29 15:00:00,23.6,18.7,74.15,0.0
2016-05-29 16:00:00,22.3,18.5,79.12,0.0
2016-05-29 17:00:00,23.2,15.1,60.35,0.0
2016-05-29 18:00:00,21.6,17.9,79.51,0.0
2016-05-29 19:00:00,21.0,16.7,76.56,0.0
2016-05-29 20:00:00,21.8,11.7,52.65,0.0
2016-05-29 21:00:00,19.4,15.7,78.86,0.0
2016-05-29 22:00:00,18.1,15.0,82.53,0.0
2016-05-29 23:00:00,21.6,10.7,49.88,0.0
2016-05-30 00:00:00,21.9,14.0,60.86,0.0
2016-05-30 01:00:00,24.6,12.0,45.34,0.0
2016-05-30 02:00:00,25.6,11.2,40.52,0.0
2016-05-30 03:00:00,29.0,7.7,26.2,0.0
2016-05-30 04:00:00,29.8,6.3,22.87,0.0
2016-05-30 05:00:00,27.6,11.1,35.77,0.0
2016-05-30 06:00:00,30.0,3.3,18.3,0.0
2016-05-30 07:00:00,29.7,9.4,28.45,0.0
2016-05-30 08:00:00,27.0,13.3,42.82,0.0
2016-05-30 09:00:00,27.1,14.7,46.6,0.0
2016-05-30 10:00:00,26.1,15.8,53.08,0.0
2016-05-30 11:00:00,25.0,14.3,51.44,0.0
2016-05-30 12:00:00,24.4,16.6,61.52,0.0
2016-05-30 13:00:00,23.2,17.1,68.68,0.0
2016-05-30 14:00:00,23.3,15.4,61.15,0.0
2016-05-30 15:00:00,23.4,16.5,65.29,0.0
2016-05-30 16:00:00,22.5,15.3,63.62,0.0
2016-05-30 17:00:00,22.1,15.4,65.77,0.0
2016-05-30 18:00:00,20.9,14.6,66.89,0.0
2016-05-30 19:00:00,20.1,13.8,67.08,0.0
2016-05-30 20:00:00,21.0,13.0,60.22,0.0
2016-05-30 21:00:00,19.3,13.8,70.77,0.0
2016-05-30 22:00:00,18.6,13.7,73.4,0.0
2016-05-30 23:00:00,20.4,10.5,52.99,0.0
2016-05-31 00:00:00,20.1,14.1,68.43,0.0
2016-05-31 01:00:00,22.1,11.7,51.86,0.0
2016-05-31 02:00:00,24.4,10.0,40.18,0.0
2016-05-31 03:00:00,26.8,13.8,44.85,0.0
2016-05-31 04:00:00,27.3,12.1,38.96,0.0
2016-05-31 05:00:00,26.0,11.4,40.09,0.0
2016-05-31 06:00:00,28.2,11.7,35.94,0.0
2016-05-31 07:00:00,27.7,13.4,41.29,0.0
2016-05-31 08:00:00,25.3,14.3,50.53,0.0
2016-05-31 09:00:00,25.7,15.7,53.99,0.0
2016-05-31 10:00:00,24.9,15.3,55.2,0.0
2016-05-31 11:00:00,23.7,16.0,62.03,0.0
2016-05-31 12:00:00,24.2,16.9,63.44,0.0
2016-05-31 13:00:00,24.1,18.0,68.87,0.0
2016-05-31 14:00:00,22.9,16.2,65.94,0.0
2016-05-31 15:00:00,21.2,17.8,80.72,0.0
2016-05-31 16:00:00,20.0,17.2,83.83,0.0
2016-05-31 17:00:00,22.1,16.7,71.46,0.0
2016-05-31 18:00:00,18.4,16.1,86.43,0.0
2016-05-31 19:00:00,17.8,16.5,92.26,0.0
2016-05-31 20:00:00,21.1,15.6,70.82,0.0
2016-05-31 21:00:00,17.9,16.6,92.4,0.0
2016-05-31 22:00:00,17.5,16.4,93.18,0.0
2016-05-31 23:00:00,20.8,14.5,67.21,0.0
2016-06-01 00:00:00,21.0,18.3,84.62,0.0
2016-06-01 01:00:00,24.4,18.6,69.99,0.0
2016-06-01 02:00:00,24.2,13.6,51.57,0.0
2016-06-01 03:00:00,26.6,20.0,67.2,0.0
2016-06-01 04:00:00,28.2,19.1,57.85,0.0
2016-06-01 05:00:00,25.6,15.0,51.93,0.0
2016-06-01 06:00:00,27.5,19.4,61.27,0.0
2016-06-01 07:00:00,27.1,16.1,51.17,0.0
2016-06-01 08:00:00,25.3,15.7,55.29,0.0
2016-06-01 09:00:00,26.1,17.1,57.63,0.0
2016-06-01 10:00:00,25.7,18.1,63.11,0.0
2016-06-01 11:00:00,24.6,16.4,60.29,0.0
2016-06-01 12:00:00,25.1,19.6,71.49,0.0
2016-06-01 13:00:00,24.9,19.7,73.17,0.0
2016-06-01 14:00:00,24.5,16.7,61.82,0.0
2016-06-01 15:00:00,24.7,15.2,55.72,0.0
2016-06-01 16:00:00,24.4,16.5,61.69,0.0
2016-06-01 17:00:00,24.1,17.0,64.53,0.0
2016-06-01 18:00:00,24.3,13.7,51.34,0.0
2016-06-01 19:00:00,24.6,13.0,48.34,0.0
2016-06-01 20:00:00,24.0,16.6,63.3,0.0
2016-06-01 21:00:00,22.9,15.2,61.8,0.0
2016-06-01 22:00:00,22.9,13.8,56.53,0.0
2016-06-01 23:00:00,24.2,14.9,56.09,0.0
2016-06-02 00:00:00,23.9,11.1,44.49,0.0
2016-06-02 01:00:00,25.9,9.6,35.89,0.0
2016-06-02 02:00:00,26.3,10.1,36.13,0.0
2016-06-02 03:00:00,29.4,8.1,26.37,0.0
2016-06-02 04:00:00,29.9,7.0,23.73,0.0
2016-06-02 05:00:00,28.0,9.8,32.04,0.0
2016-06-02 06:00:00,30.7,7.0,22.72,0.0
2016-06-02 07:00:00,29.7,9.6,28.68,0.0
2016-06-02 08:00:00,26.5,14.2,46.76,0.0
2016-06-02 09:00:00,28.0,13.2,40.19,0.0
2016-06-02 10:00:00,26.7,15.1,49.03,0.0
2016-06-02 11:00:00,25.7,16.2,55.75,0.0
2016-06-02 12:00:00,25.8,17.4,59.61,0.0
2016-06-02 13:00:00,25.9,16.3,55.51,0.0
2016-06-02 14:00:00,25.1,17.4,62.34,0.0
2016-06-02 15:00:00,25.6,18.0,62.7,0.0
2016-06-02 16:00:00,25.6,19.4,68.48,0.0
2016-06-02 17:00:00,24.7,17.7,65.07,0.0
2016-06-02 18:00:00,25.3,19.5,70.2,0.0
2016-06-02 19:00:00,25.2,17.5,62.59,0.0
2016-06-02 20:00:00,24.0,16.4,62.5,0.0
2016-06-02 21:00:00,23.5,13.7,54.12,0.0
2016-06-02 22:00:00,24.0,13.6,52.45,0.0
2016-06-02 23:00:00,24.5,15.4,56.89,0.0
2016-06-03 00:00:00,24.9,15.2,54.62,0.0
2016-06-03 01:00:00,26.7,12.5,41.46,0.0
2016-06-03 02:00:00,26.6,15.5,50.54,0.0
2016-06-03 03:00:00,29.6,13.6,37.57,0.0
2016-06-03 04:00:00,30.9,12.2,31.74,0.0
2016-06-03 05:00:00,27.1,17.5,55.74,0.0
2016-06-03 06:00:00,31.1,12.5,32.15,0.0
2016-06-03 07:00:00,30.7,11.6,30.91,0.0
2016-06-03 08:00:00,26.4,18.4,61.47,0.0
2016-06-03 09:00:00,28.5,13.1,38.88,0.0
2016-06-03 10:00:00,28.1,13.8,41.41,0.0
2016-06-03 11:00:00,26.2,19.2,65.39,0.0
2016-06-03 12:00:00,27.3,18.1,57.41,0.0
2016-06-03 13:00:00,27.1,19.8,64.62,0.0
2016-06-03 14:00:00,26.1,20.7,72.18,0.0
2016-06-03 15:00:00,26.3,23.4,83.66,0.0
2016-06-03 16:00:00,26.5,22.9,80.55,0.0
2016-06-03 17:00:00,25.2,21.4,79.49,0.3
2016-06-03 18:00:00,25.4,22.0,81.43,0.0
2016-06-03 19:00:00,25.6,21.5,78.51,0.0
2016-06-03 20:00:00,24.1,21.4,84.89,0.0
2016-06-03 21:00:00,25.2,21.7,80.97,0.0
2016-06-03 22:00:00,24.2,22.7,91.28,0.0
2016-06-03 23:00:00,25.2,22.5,85.01,0.4
2016-06-04 00:00:00,26.3,23.5,84.58,0.0
2016-06-04 01:00:00,27.2,24.1,83.15,0.0
2016-06-04 02:00:00,25.8,23.7,88.21,0.0
2016-06-04 03:00:00,27.9,24.3,80.85,0.0
2016-06-04 04:00:00,28.2,24.5,80.48,0.0
2016-06-04 05:00:00,26.7,23.6,83.14,0.0
2016-06-04 06:00:00,28.4,25.6,84.51,0.0
2016-06-04 07:00:00,27.2,25.7,91.29,0.0
2016-06-04 08:00:00,26.1,23.7,86.65,0.0
2016-06-04 09:00:00,26.5,25.5,93.76,0.0
2016-06-04 10:00:00,26.0,24.6,91.88,0.0
2016-06-04 11:00:00,25.5,23.8,90.33,0.0
2016-06-04 12:00:00,25.9,25.3,96.66,0.0
2016-06-04 13:00:00,26.1,25.5,96.66,0.2
2016-06-04 14:00:00,24.9,23.2,90.29,0.0
2016-06-04 15:00:00,25.7,25.3,98.06,0.0
2016-06-04 16:00:00,25.7,25.0,96.33,0.0
2016-06-04 17:00:00,25.1,23.4,90.31,0.0
2016-06-04 18:00:00,24.4,24.4,99.73,0.0
2016-06-04 19:00:00,24.4,24.3,99.78,8.0
2016-06-04 20:00:00,24.9,23.7,93.06,0.0
2016-06-04 21:00:00,23.7,23.7,99.93,0.0
2016-06-04 22:00:00,23.2,23.1,99.78,0.0
2016-06-04 23:00:00,24.5,23.3,93.04,0.0
2016-06-05 00:00:00,23.4,23.4,99.77,0.0
2016-06-05 01:00:00,24.1,24.0,99.38,0.0
2016-06-05 02:00:00,25.8,23.1,85.07,0.0
2016-06-05 03:00:00,24.9,24.8,99.5,0.0
2016-06-05 04:00:00,24.9,24.6,98.09,0.0
2016-06-05 05:00:00,26.3,22.5,79.64,0.0
2016-06-05 06:00:00,25.2,24.6,96.17,0.0
2016-06-05 07:00:00,26.1,24.5,90.8,3.0
2016-06-05 08:00:00,26.3,21.5,74.93,0.0
2016-06-05 09:00:00,25.6,24.4,93.36,0.0
2016-06-05 10:00:00,25.4,24.3,93.7,0.0
2016-06-05 11:00:00,25.5,22.1,81.5,0.0
2016-06-05 12:00:00,24.9,24.6,98.51,0.0
2016-06-05 13:00:00,24.8,24.6,98.64,0.2
2016-06-05 14:00:00,25.0,22.3,84.99,0.0
2016-06-05 15:00:00,24.6,24.2,97.83,0.0
2016-06-05 16:00:00,24.8,24.3,97.17,0.0
2016-06-05 17:00:00,25.0,22.7,87.08,0.0
2016-06-05 18:00:00,24.6,23.7,94.58,0.0
2016-06-05 19:00:00,23.8,23.8,100.0,0.0
2016-06-05 20:00:00,25.1,23.0,88.15,0.0
2016-06-05 21:00:00,24.4,24.4,100.0,0.0
2016-06-05 22:00:00,24.6,24.6,100.0,0.0
2016-06-05 23:00:00,25.6,23.7,89.26,0.0
2016-06-06 00:00:00,26.0,26.0,99.96,0.0
2016-06-06 01:00:00,27.0,25.8,93.43,0.0
2016-06-06 02:00:00,26.1,23.7,86.65,0.0
2016-06-06 03:00:00,29.3,25.7,80.88,0.0
2016-06-06 04:00:00,28.2,25.5,85.74,0.0
2016-06-06 05:00:00,25.8,23.3,86.1,0.0
2016-06-06 06:00:00,28.9,26.0,84.53,0.0
2016-06-06 07:00:00,28.1,25.8,87.32,0.0
2016-06-06 08:00:00,24.7,23.1,90.83,0.0
2016-06-06 09:00:00,24.8,24.7,99.35,0.0
2016-06-06 10:00:00,24.6,24.5,99.38,0.0
2016-06-06 11:00:00,24.8,23.2,90.83,0.0
2016-06-06 12:00:00,24.3,24.2,99.24,0.0
2016-06-06 13:00:00,23.4,23.4,100.0,36.0
2016-06-06 14:00:00,23.5,21.9,90.75,0.0
2016-06-06 15:00:00,23.7,23.7,100.0,0.0
2016-06-06 16:00:00,22.4,22.4,99.8,0.0
2016-06-06 17:00:00,22.6,21.0,90.69,0.0
2016-06-06 18:00:00,21.9,21.8,99.79,0.0
2016-06-06 19:00:00,21.6,21.6,99.63,6.0
2016-06-06 20:00:00,21.0,18.8,87.25,0.0
2016-06-06 21:00:00,20.4,18.9,91.09,0.0
2016-06-06 22:00:00,20.4,18.1,86.91,0.0
2016-06-06 23:00:00,20.2,16.0,76.8,0.0
2016-06-07 00:00:00,19.7,17.4,86.27,0.0
2016-06-07 01:00:00,20.6,17.0,79.91,0.0
2016-06-07 02:00:00,20.7,14.5,67.63,0.0
2016-06-07 03:00:00,21.7,15.2,66.36,0.0
2016-06-07 04:00:00,22.2,14.0,59.9,0.0
2016-06-07 05:00:00,21.8,13.3,58.48,0.0
2016-06-07 06:00:00,23.1,12.1,49.87,0.0
2016-06-07 07:00:00,22.7,10.6,46.49,0.0
2016-06-07 08:00:00,21.3,12.2,56.1,0.0
2016-06-07 09:00:00,21.1,9.2,46.29,0.0
2016-06-07 10:00:00,20.3,8.8,47.6,0.0
2016-06-07 11:00:00,19.3,10.7,57.49,0.0
2016-06-07 12:00:00,18.8,10.2,57.5,0.0
2016-06-07 13:00:00,17.7,10.1,61.18,0.0
2016-06-07 14:00:00,17.9,10.0,59.89,0.0
2016-06-07 15:00:00,16.3,10.3,67.49,0.0
2016-06-07 16:00:00,16.1,10.1,67.82,0.0
2016-06-07 17:00:00,16.4,10.9,69.93,0.0
2016-06-07 18:00:00,15.3,9.5,68.48,0.0
2016-06-07 19:00:00,14.1,10.0,76.47,0.0
2016-06-07 20:00:00,14.9,9.9,72.01,0.0
2016-06-07 21:00:00,12.6,10.2,85.48,0.0
2016-06-07 22:00:00,12.6,10.8,88.82,0.0
2016-06-07 23:00:00,15.3,10.0,70.65,0.0
2016-06-08 00:00:00,15.0,10.5,74.48,0.0
2016-06-08 01:00:00,16.7,9.3,61.79,0.0
2016-06-08 02:00:00,17.3,8.7,56.99,0.0
2016-06-08 03:00:00,19.1,8.0,48.44,0.0
2016-06-08 04:00:00,20.4,7.0,41.89,0.0
2016-06-08 05:00:00,19.9,7.3,44.03,0.0
2016-06-08 06:00:00,21.8,4.1,31.38,0.0
2016-06-08 07:00:00,22.1,3.2,28.9,0.0
2016-06-08 08:00:00,21.3,6.2,37.45,0.0
2016-06-08 09:00:00,22.2,2.7,27.76,0.0
